Clase,m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03
Motorcycles,3480240.0,293664630.0,484401315.0,28783542180.0,40437174015.0,72841560135.0,3127210870710.0,3943492179315.0,5976277802955.0,11641582068825.0,4003953728.3308883,-436884366.31521577,5419590968.008856,22727431431.698658,10949966485.861328,-48517924516.515625,-5620853782.869236,0.0003305754984127024,-3.607016387863584e-05,0.00044745371874948164,1.005836451822592e-06,4.846071352503855e-07,-2.1472332758828176e-06,-2.4875928642290176e-07
Motorcycles,969765.0,115662645.0,119113560.0,14037601335.0,14575530465.0,18211616010.0,1733210697735.0,1813223970435.0,2278169779935.0,3192509787120.0,242663954.91717094,369006817.55324775,3581225991.9300556,1079295173.1500278,1002166229.7695312,15445193208.295898,75883005960.9193,0.00025803122234207936,0.00039237504481588634,0.00380801557650518,1.165397199666171e-06,1.0821152052081575e-06,1.6677351442902208e-05,8.19366609330828e-05
Motorcycles,6884490.0,696339210.0,984930105.0,102898789320.0,99993680400.0,189943016625.0,17757417845640.0,15145642346850.0,19210523562600.0,39867901494465.0,32466804469.499218,371856383.85398597,49033913447.377396,781827843174.1157,349195299871.48047,-107868247985.50781,-1336392556227.3008,0.000685008560091501,7.845699945738466e-06,0.0010345536308568333,6.286829744730595e-06,2.80794732129185e-06,-8.673895613567198e-07,-1.074619245973217e-05
Motorcycles,1049835.0,132262380.0,161379045.0,19649510010.0,20474045370.0,26175263715.0,3251507933520.0,3068713852860.0,3335534606340.0,4412498576175.0,2986570440.1967454,142872782.0913288,1368321514.4522743,23464680368.255127,12221595957.743164,-6053378757.015625,-31795907682.34428,0.0027097590003784017,0.00012963056285910876,0.0012414981040775976,2.077839624972829e-05,1.0822442906898578e-05,-5.3603757003706226e-06,-2.815584779229864e-05
Motorcycles,2672145.0,324516570.0,376458540.0,46910408940.0,43212644760.0,57148819590.0,7629312081030.0,6019856027190.0,6213114479100.0,9199367451960.0,7499746642.645291,-2506069661.563125,4112389179.624969,110712184996.41423,19694434592.183594,-21156588164.277344,-10630223511.063066,0.0010503318875986333,-0.0003509725066065486,0.0005759359209569473,9.485175482018334e-06,1.687304501596133e-06,-1.8125733074951256e-06,-9.10735664902431e-07
Motorcycles,1097520.0,134016015.0,222186600.0,17292022005.0,27383356815.0,45476082900.0,2322238076175.0,3560963626455.0,5656758065565.0,9405268085790.0,927589214.2716063,252586789.4888452,495685987.3605901,-15789021745.524408,-1392345512.71875,1493279510.5058594,-1800404322.0041945,0.0007700710625984131,0.00020969387568045022,0.0004115112909130314,-1.2511924501622141e-05,-1.1033566370410214e-06,1.1833412352202713e-06,-1.4267206235051325e-06
Motorcycles,4115955.0,496086690.0,375950325.0,74766566100.0,44316617280.0,46463752725.0,12716608567530.0,6907075752900.0,5242691741280.0,6586777195275.0,14974366235.046148,-995819890.3952724,12124541808.55275,95511918028.52856,317963666420.85156,-175562751651.1914,127883984711.13895,0.0008839083056526535,-5.878135062533975e-05,0.0007156886000110302,2.778951847660391e-06,9.251261376880446e-06,-5.108058168570074e-06,3.720828174480203e-06
Motorcycles,2338605.0,259443120.0,304911405.0,32384456850.0,34037801880.0,44495021145.0,4349797952430.0,4312032761490.0,5040988114200.0,7032600277335.0,3602027788.514885,211154696.40824455,4740139538.626103,-42122521624.99239,42840014201.34375,49681732560.884766,-4793650268.734828,0.0006586175683917075,3.860886169349233e-05,0.000866717127147564,-5.036422752419133e-06,5.1222104924884214e-06,5.940247606182758e-06,-5.731577395943835e-07
Motorcycles,1423920.0,180839115.0,175957905.0,26302995765.0,21912946365.0,23287054665.0,4170628836765.0,3167001706935.0,2874181767495.0,3222857240985.0,3336266233.858347,-433865125.43069303,1543428385.44144,-17292775588.222427,26867107091.771484,23932905530.47461,-36243131868.45633,0.0016454682996666031,-0.00021398511395220732,0.0007612289616684493,-7.147443491548601e-06,1.1104702581730593e-05,9.89193949779475e-06,-1.4979997610271649e-05
Motorcycles,2331210.0,324309000.0,398524455.0,58375529730.0,54168980115.0,71702135475.0,11814534314580.0,9772831477875.0,9572733703095.0,13421515496265.0,13258904680.776636,-1272214576.4241939,3573678050.2947927,4498364389.94939,147403096539.3672,32782084692.214844,-57943950626.92766,0.002439747342808928,-0.00023409792943257691,0.0006575861081422758,5.421271269867817e-07,1.776450511976897e-05,3.950782073265465e-06,-6.98320206113708e-06
Motorcycles,1834980.0,253212195.0,273624945.0,40325656395.0,37693927620.0,45998106405.0,6903827224005.0,6069687369840.0,6371703048390.0,8210124151755.0,5384449571.646056,-64071339.2280402,5196239067.888409,-146802516046.85437,74167950399.06445,43449631290.68164,-198616321431.57822,0.0015991111214019623,-1.9028350021552003e-05,0.0015432150626277482,-3.2185122114990284e-05,1.626065141724512e-05,9.525938155552863e-06,-4.354482968987562e-05
Motorcycles,495720.0,55793490.0,70708185.0,6539674920.0,7905775710.0,10329989055.0,796843027590.0,923549896500.0,1146306337860.0,1541293235235.0,260094660.216049,-52459609.768519014,244361228.81944376,2252402035.4411736,2556725643.119629,-1372782319.0756836,-1859058594.783631,0.0010584212584733345,-0.0002134775321573089,0.0009943961137623043,1.301831598178154e-05,1.4777229720597207e-05,-7.934335754775537e-06,-1.0744890048369947e-05
Motorcycles,9487020.0,1202793690.0,1219841970.0,210344831970.0,147004682760.0,228099103950.0,41486228687460.0,24623072090610.0,26457133989630.0,47433904736460.0,57850933917.31158,-7650648873.449629,71251702787.83517,149021306182.7411,-483141433849.96094,-494532364881.7344,-218202596162.6241,0.0006427628120674567,-8.500385821027606e-05,0.0007916543735311903,5.375561382633352e-07,-1.7428087974005063e-06,-1.7838986593371298e-06,-7.871098969457223e-07
Motorcycles,3948420.0,550722480.0,550309125.0,92987218800.0,76295503005.0,82910932815.0,17043809861220.0,13045795423515.0,11584201709745.0,13159243370055.0,16172885477.46835,-461175891.021705,6211865071.886149,-437535827347.4096,214395736254.73438,148403102486.48047,-127979102481.32742,0.001037387056752295,-2.958148073815543e-05,0.00039845137299983504,-1.4123920457093265e-05,6.9208237038779784e-06,4.7905416747521105e-06,-4.131242633488897e-06
Motorcycles,3631200.0,475755285.0,542683350.0,71484609765.0,72360730350.0,92407450800.0,11740934649135.0,10959458311440.0,12460355939190.0,17162928653310.0,9151747018.406258,1259036187.1875093,11303347922.928368,-22990475848.72195,-53841352812.67969,-23079025324.695312,-25951716585.571537,0.0006940706293302542,9.548559821783379e-05,0.0008572485439803981,-9.150030377512743e-07,-2.14284391956066e-06,-9.185272379479141e-07,-1.032858113372983e-06
Motorcycles,10534560.0,1366496805.0,1304156445.0,244871778675.0,169417750680.0,222825817935.0,49410919599015.0,30836250633870.0,28871875623810.0,43530556683885.0,67615821323.65282,248310730.66579357,61373983873.10865,105575018273.18016,457218192285.4531,-93590457280.23438,749246423256.339,0.0006092780405906706,2.2374981546629427e-06,0.0005530335934020555,2.9310293191343603e-07,1.269353251128646e-06,-2.598307618282885e-07,2.080097422420964e-06
Motorcycles,1839570.0,237146175.0,242709000.0,33038026185.0,31612333170.0,34112127750.0,4878743914125.0,4475168922750.0,4503085763790.0,5051212397340.0,2466583773.3871617,323765195.9218165,2089612335.5281348,-16271417541.779285,32725496863.98633,20123946138.140625,-868172990.1026114,0.0007288920833671242,9.567479147612813e-05,0.0006174944897903024,-3.545149821656784e-06,7.130097244023173e-06,4.384522975916372e-06,-1.891539758676091e-07
Motorcycles,966195.0,69107295.0,104650215.0,6267984915.0,7581226500.0,12607971375.0,675372447255.0,687572579280.0,923340882690.0,1653048679965.0,1325071504.9564526,96098467.02691956,1273129547.4742668,37501523316.56728,-5070395679.776123,735976191.0473633,11668340758.4576,0.0014194161535064677,0.00010294064578024495,0.0013637759460013007,4.0868335023562416e-05,-5.525605655905978e-06,8.02050660480803e-07,1.2715901038480365e-05
Motorcycles,2938875.0,325668660.0,360505740.0,44909642730.0,39727098975.0,49399861230.0,6704279558430.0,5502984889245.0,5477128212075.0,7457909169630.0,8820977473.33015,-222004429.57093462,5177365011.907159,-227316714367.2692,43213985300.666016,57394855389.68164,127936599053.21205,0.0010213027093069987,-2.570392295915845e-05,0.0005994411537405065,-1.5352481541361264e-05,2.9185795400210985e-06,3.876324978529874e-06,8.640562489635331e-06
Motorcycles,1681215.0,230292285.0,264705810.0,35429074485.0,36453026220.0,43558939860.0,5877020814495.0,5660850504210.0,6023552327670.0,7418640975540.0,3883712035.5088735,193710286.18079817,1881244950.2138627,-40021536700.13395,29505418681.13086,-4136141059.232422,-32076151711.498188,0.0013740435840362507,6.853401422530457e-05,0.0006655778106636217,-1.0920326410636508e-05,8.050885334429518e-06,-1.1285926071674979e-06,-8.752338754785613e-06
Motorcycles,1972935.0,179918310.0,316253550.0,19024185240.0,28293604560.0,53138866560.0,2301850550010.0,2965033262610.0,4651144240170.0,9301285512300.0,2616853891.9038386,-546577325.1105077,2444693722.272195,89694996479.71785,15221139670.726562,-19532202773.789062,-410351597.634764,0.0006722857726908986,-0.00014041905835251157,0.0006280567719715649,1.6405379224523972e-05,2.7839743389050715e-06,-3.5724756805890068e-06,-7.5054059187235e-08
